ploidy,value_metric,feature,family_id_group,n,mean,sd,se,median,iqr
triploid,corrected_fc,metabolic_scope,hnry,81,0.9728299205741573,0.3031753678649556,0.03368615198499506,0.9541680679890658,0.43796546619588894
triploid,corrected_fc,min_slope,hnry,81,-0.0051417256725893494,0.05123214862672071,0.0056924609585245235,0.0027241186561721698,0.06123744159466518
triploid,corrected_fc,peak_value,hnry,81,0.9728299205741573,0.3031753678649556,0.03368615198499506,0.9541680679890658,0.43796546619588894
triploid,corrected_fc,resilience_ratio,hnry,81,0.9844628909443035,0.028788493401449372,0.00319872148904993,1,0.019225249607536687
triploid,corrected_fc,stability_cv,hnry,81,0.6276819550787904,0.0571521503935618,0.006350238932617978,0.6066197935871338,0.06317649801373415
triploid,corrected_fc,time_to_min_slope,hnry,81,2.9691358024691357,0.8527370601933292,0.09474856224370325,3.5,1
triploid,corrected_fc,time_to_peak,hnry,81,3.580246913580247,0.5887316351883985,0.06541462613204428,4,1
triploid,corrected_fc,time_to_trough,hnry,81,0,0,0,0,0
triploid,corrected_fc,time_to_vmax,hnry,81,0.7469135802469136,0.6428620419174487,0.0714291157686054,0.5,0
triploid,corrected_fc,trough_value,hnry,81,0,0,0,0,0
triploid,corrected_fc,vmax,hnry,81,0.5949947174168193,0.17778210023819865,0.019753566693133183,0.5838960766779165,0.2551065425078004
