trace_id,family_id_group,ploidy,value_metric,baseline_value,final_value,peak_value,trough_value,time_to_peak,time_to_trough,auc_total,auc_early,auc_late,delta_auc_late_minus_early,late_early_auc_ratio,initial_slope,vmax,time_to_vmax,min_slope,time_to_min_slope,inflection_time,metabolic_scope,final_delta,depression_abs,metabolic_depression_index,resilience_ratio,stability_cv,trajectory_class,n_timepoints
20250826 plate2 B02,hnry,diploid,corrected_fc,0,0.7205592026315719,0.7205592026315719,0,4,0,2.0097714297258187,0.7000849071834574,1.3096865225423615,0.6096016153589041,1.870753831576543,0.4331438287948038,0.4331438287948038,0.5,0.03809335979365014,3.5,1.5,0.7205592026315719,0.7205592026315719,0,0,1,0.6097796044341135,monotonic_increase,5
20250826 plate2 B03,hnry,triploid,corrected_fc,0,0.770408199453835,0.770408199453835,0,4,0,2.003550233028456,0.658806771556016,1.34474346147244,0.6859366899164241,2.0411803878341,0.4043444828645576,0.4043444828645576,0.5,0.06533112639977079,3.5,1.5,0.770408199453835,0.770408199453835,0,0,1,0.6382636659202814,monotonic_increase,5
20250826 plate2 B04,hnry,diploid,corrected_fc,0,1.168086539489405,1.36169500405905,0,3,0,3.784013500156559,1.248372836000286,2.535640664156273,1.287267828155987,2.031156551179308,0.6584704456477656,0.6584704456477656,0.5,-0.19360846456964498,3.5,3.5,1.36169500405905,1.168086539489405,0.19360846456964498,0.14218195997820457,0.8578180400217954,0.6342820342741557,rise_then_depress,5
20250826 plate2 B05,hnry,triploid,corrected_fc,0,0.6522823812862082,0.6522823812862082,0,4,0,2.044985753659617,0.8467627600424888,1.198222993617128,0.3514602335746392,1.4150634040129535,0.6056225949094736,0.6056225949094736,0.5,-0.123342264643443,1.5,1.5,0.6522823812862082,0.6522823812862082,0,0,1,0.5760309328274485,rise_then_depress,5
20250826 plate2 B06,hnry,diploid,corrected_fc,0,0.8711545640915431,0.8711545640915431,0,4,0,2.2900844387068395,0.6826626790797379,1.6074217596271017,0.9247590805473638,2.3546354720811506,0.3502016143263219,0.3502016143263219,0.5,0.03177115126362906,3.5,3.5,0.8711545640915431,0.8711545640915431,0,0,1,0.6754983688080674,monotonic_increase,5
20250826 plate2 B07,hnry,triploid,corrected_fc,0,0.6713824014075015,0.6713824014075015,0,4,0,1.9613553846859277,0.7016736553785121,1.2596817293074158,0.5580080739289037,1.7952529921162437,0.43805518792832665,0.43805518792832665,0.5,0.011010340254022033,3.5,1.5,0.6713824014075015,0.6713824014075015,0,0,1,0.5975372283914602,monotonic_increase,5
20250826 plate2 C01,hnry,triploid,corrected_fc,0,1.0605961753741615,1.0605961753741615,0,4,0,2.8431303490997353,0.8589217171300655,1.9842086319696695,1.125286914839604,2.310115802636299,0.4429095414282471,0.4429095414282471,0.5,0.022697806793391173,3.5,2.5,1.0605961753741615,1.0605961753741615,0,0,1,0.6688383831425634,monotonic_increase,5
20250826 plate2 C02,hnry,diploid,corrected_fc,0,1.1433349991908512,1.1433349991908512,0,4,0,2.8993285503837183,0.8620772287006196,2.0372513216830987,1.1751740929824792,2.3631888812952178,0.512497820685599,0.512497820685599,0.5,0.027330585118198858,3.5,3.5,1.1433349991908512,1.1433349991908512,0,0,1,0.6812384503462741,monotonic_increase,5
20250826 plate2 C03,hnry,triploid,corrected_fc,0,1.24761890236109,1.24761890236109,0,4,0,2.7837760725344336,0.7303076017057839,2.0534684708286495,1.3231608691228656,2.8117856996590898,0.4834092143068133,0.6889638574511928,2.5,0.0103875604911281,1.5,2.5,1.24761890236109,1.24761890236109,0,0,1,0.7731883188364835,monotonic_increase,5
20250826 plate2 C04,hnry,diploid,corrected_fc,0,1.0277724453567036,1.064133460095544,0,3,0,2.6886473375782796,0.8199267828816317,1.8687205546966479,1.0487937718150162,2.2791310074407276,0.5292259109588798,0.5292259109588798,0.5,-0.03636101473884046,3.5,3.5,1.064133460095544,1.0277724453567036,0.03636101473884046,0.03416960005709787,0.9658303999429021,0.6785483633148519,rise_then_depress,5
20250826 plate2 C05,hnry,triploid,corrected_fc,0,1.1654180950770627,1.1654180950770627,0,4,0,2.992590930503516,0.876155980126642,2.116434950376874,1.2402789702502321,2.4155915138203574,0.49197585014860784,0.49197585014860784,0.5,0.015872322216754498,3.5,3.5,1.1654180950770627,1.1654180950770627,0,0,1,0.6835134831898312,monotonic_increase,5
20250826 plate2 C06,hnry,diploid,corrected_fc,0,0.9862669829527044,0.9862669829527044,0,4,0,2.3991647752068017,0.6479188997170786,1.7512458754897229,1.1033269757726443,2.7028782093784036,0.33326016532269587,0.33326016532269587,0.5,0.0428133333337164,3.5,3.5,0.9862669829527044,0.9862669829527044,0,0,1,0.7215514505165905,monotonic_increase,5
20250826 plate2 C07,hnry,triploid,corrected_fc,0,1.3278215788084509,1.4084822490605784,0,3,0,3.746148005168944,1.1665120085057796,2.579635996663165,1.4131239881573854,2.2114097221918003,0.6592690503074187,0.6592690503074187,0.5,-0.08066067025212753,3.5,3.5,1.4084822490605784,1.3278215788084509,0.08066067025212753,0.057267793261807975,0.942732206738192,0.6515553529034493,rise_then_depress,5
20250826 plate2 D01,hnry,triploid,corrected_fc,0,1.3636449082517832,1.439052143776539,0,3,0,3.921981441907052,1.29757824840997,2.624403193497082,1.326824945087112,2.0225394473997853,0.7940496528153185,0.7940496528153185,0.5,-0.0754072355247557,3.5,1.5,1.439052143776539,1.3636449082517832,0.0754072355247557,0.052400627629004944,0.947599372370995,0.627680576926484,rise_then_depress,5
20250826 plate2 D02,hnry,diploid,corrected_fc,0,1.1971084447438036,1.2021134999601242,0,3,0,2.7807351945360868,0.7524207401724108,2.028314454363676,1.2758937141912652,2.6957184272976114,0.5247740081407608,0.7468200358968242,2.5,-0.06948054407746079,1.5,2.5,1.2021134999601242,1.1971084447438036,0.005005055216320553,0.004163546301149249,0.9958364536988508,0.7677211742724485,rise_then_depress,5
20250826 plate2 D03,hnry,triploid,corrected_fc,0,0.532551816265133,0.532551816265133,0,4,0,1.6082794826602673,0.639972034795125,0.9683074478651424,0.32833541307001746,1.5130465008133174,0.4236388536218377,0.4236388536218377,0.5,0.009027508724736899,1.5,1.5,0.532551816265133,0.532551816265133,0,0,1,0.571127250644142,monotonic_increase,5
20250826 plate2 D04,hnry,diploid,corrected_fc,0,1.3351895837700298,1.4634728402290165,0,3,0,3.643827132359866,1.003679950896951,2.6401471814629147,1.6364672305659638,2.63046719136266,0.4946004015480676,0.5235586971496993,1.5,-0.12828325645898664,3.5,3.5,1.4634728402290165,1.3351895837700298,0.12828325645898664,0.0876567387741284,0.9123432612258716,0.7073494755782646,rise_then_depress,5
20250826 plate2 D05,hnry,triploid,corrected_fc,0,1.0088691075159535,1.0088691075159535,0,4,0,3.173438653598893,1.2674942985586135,1.9059443550402797,0.6384500564816662,1.5037103971258154,0.8462807601425397,0.8462807601425397,0.5,-0.003853683310392042,1.5,1.5,1.0088691075159535,1.0088691075159535,0,0,1,0.5684363120823818,rise_then_depress,5
20250826 plate2 D06,hnry,diploid,corrected_fc,0,1.0377771813772174,1.0377771813772174,0,4,0,2.6077592496066915,0.7804032287439499,1.8273560208627415,1.0469527921187916,2.3415536399097814,0.4709408502649879,0.4709408502649879,0.5,0.038772129682046574,3.5,3.5,1.0377771813772174,1.0377771813772174,0,0,1,0.6806569681125965,monotonic_increase,5
