stratum,phenotype,scale,adjustment,best_feature,best_assoc,fw_perm_p,q_bh
triploid,survived,fc_corr,resid,sat_r2,-0.12585034013605445,1,1
triploid,survived,fc_corr_mm,none,max_drop,0.1233974358974359,1,1
triploid,survived,fc_corr_mm,resid,depression_abs,0.1314102564102564,1,1
triploid,survived,raw_delta,none,resilience_ratio,-0.09294871794871795,1,1
triploid,survived,raw_delta,resid,resilience_ratio,-0.12019230769230771,1,1
triploid,survived,raw_delta_mm,none,vmax,0.13782051282051277,1,1
triploid,survived,raw_delta_mm,resid,depression_abs,0.1314102564102564,1,1
triploid,survived,raw_rfu,none,inflection_time,-0.24118589743589747,0.857,1
triploid,survived,raw_rfu,resid,time_to_vmax,0.2612179487179487,0.772,1
triploid,yield_dtw,fc_corr,none,depression_abs,0.21558359312802267,0.742,0.8763162262123619
triploid,yield_dtw,fc_corr,resid,depression_abs,0.14601862673143945,0.984,0.8763162262123619
triploid,yield_dtw,fc_corr_mm,none,depression_abs,0.2137003416179051,0.752,0.8763162262123619
triploid,yield_dtw,fc_corr_mm,resid,depression_abs,0.1700494699815717,0.935,0.8763162262123619
triploid,yield_dtw,raw_delta,none,resilience_ratio,-0.20342363294631552,0.809,0.8763162262123619
triploid,yield_dtw,raw_delta,resid,resilience_ratio,-0.152422221377862,0.975,0.8763162262123619
triploid,yield_dtw,raw_delta_mm,none,depression_abs,0.2109241691331629,0.766,0.8763162262123619
triploid,yield_dtw,raw_delta_mm,resid,depression_abs,0.1725497889324525,0.93,0.8763162262123619
triploid,yield_dtw,raw_rfu,none,depression_abs,0.21483678649470017,0.746,0.8763162262123619
triploid,yield_dtw,raw_rfu,resid,time_to_vmax,0.23137673758234276,0.631,0.8763162262123619
