index_id,scale,feature,adjustment,absorbed_duplicates,completeness
fc_corr_mm|rate_h2|none,fc_corr_mm,rate_h2,none,NA,1
fc_corr_mm|rate_h3|none,fc_corr_mm,rate_h3,none,NA,1
fc_corr_mm|rate_h4|none,fc_corr_mm,rate_h4,none,fc_corr_mm|rate_last,1
fc_corr_mm|max_drop|none,fc_corr_mm,max_drop,none,NA,1
fc_corr_mm|lin_slope|none,fc_corr_mm,lin_slope,none,NA,1
fc_corr_mm|quad_coef|none,fc_corr_mm,quad_coef,none,NA,1
fc_corr_mm|mean_rate|none,fc_corr_mm,mean_rate,none,NA,1
fc_corr_mm|sat_asymptote|none,fc_corr_mm,sat_asymptote,none,NA,0.975609756097561
fc_corr_mm|sat_k|none,fc_corr_mm,sat_k,none,NA,0.975609756097561
fc_corr_mm|value_2h|none,fc_corr_mm,value_2h,none,NA,1
fc_corr_mm|value_3h|none,fc_corr_mm,value_3h,none,NA,1
fc_corr_mm|value_4h|none,fc_corr_mm,value_4h,none,NA,1
fc_corr_mm|auc_0_1h|none,fc_corr_mm,auc_0_1h,none,NA,1
fc_corr_mm|auc_0_2h|none,fc_corr_mm,auc_0_2h,none,NA,1
fc_corr_mm|auc_0_3h|none,fc_corr_mm,auc_0_3h,none,NA,1
raw_delta_mm|final_value|none,raw_delta_mm,final_value,none,raw_delta_mm|final_delta,1
raw_delta_mm|peak_value|none,raw_delta_mm,peak_value,none,raw_delta_mm|metabolic_scope,1
raw_delta_mm|auc_total|none,raw_delta_mm,auc_total,none,NA,1
raw_delta_mm|auc_early|none,raw_delta_mm,auc_early,none,NA,1
raw_delta_mm|auc_late|none,raw_delta_mm,auc_late,none,NA,1
raw_delta_mm|delta_auc_late_minus_early|none,raw_delta_mm,delta_auc_late_minus_early,none,NA,1
raw_delta_mm|initial_slope|none,raw_delta_mm,initial_slope,none,raw_delta_mm|rate_h1; raw_delta_mm|value_1h,1
raw_delta_mm|vmax|none,raw_delta_mm,vmax,none,NA,1
raw_delta_mm|min_slope|none,raw_delta_mm,min_slope,none,NA,1
raw_delta_mm|depression_abs|none,raw_delta_mm,depression_abs,none,NA,1
raw_delta_mm|rate_h2|none,raw_delta_mm,rate_h2,none,NA,1
raw_delta_mm|rate_h3|none,raw_delta_mm,rate_h3,none,NA,1
raw_delta_mm|rate_h4|none,raw_delta_mm,rate_h4,none,raw_delta_mm|rate_last,1
raw_delta_mm|max_drop|none,raw_delta_mm,max_drop,none,NA,1
raw_delta_mm|lin_slope|none,raw_delta_mm,lin_slope,none,NA,1
raw_delta_mm|quad_coef|none,raw_delta_mm,quad_coef,none,NA,1
raw_delta_mm|mean_rate|none,raw_delta_mm,mean_rate,none,NA,1
raw_delta_mm|sat_asymptote|none,raw_delta_mm,sat_asymptote,none,NA,0.975609756097561
raw_delta_mm|sat_k|none,raw_delta_mm,sat_k,none,NA,0.975609756097561
raw_delta_mm|value_2h|none,raw_delta_mm,value_2h,none,NA,1
raw_delta_mm|value_3h|none,raw_delta_mm,value_3h,none,NA,1
raw_delta_mm|value_4h|none,raw_delta_mm,value_4h,none,NA,1
raw_delta_mm|auc_0_1h|none,raw_delta_mm,auc_0_1h,none,NA,1
raw_delta_mm|auc_0_2h|none,raw_delta_mm,auc_0_2h,none,NA,1
raw_delta_mm|auc_0_3h|none,raw_delta_mm,auc_0_3h,none,NA,1
raw_rfu|baseline_value|resid,raw_rfu,baseline_value,resid,NA,1
raw_rfu|final_value|resid,raw_rfu,final_value,resid,NA,1
raw_rfu|peak_value|resid,raw_rfu,peak_value,resid,NA,1
raw_rfu|time_to_peak|resid,raw_rfu,time_to_peak,resid,NA,1
raw_rfu|auc_total|resid,raw_rfu,auc_total,resid,NA,1
raw_rfu|auc_early|resid,raw_rfu,auc_early,resid,NA,1
raw_rfu|auc_late|resid,raw_rfu,auc_late,resid,NA,1
raw_rfu|delta_auc_late_minus_early|resid,raw_rfu,delta_auc_late_minus_early,resid,NA,1
raw_rfu|late_early_auc_ratio|resid,raw_rfu,late_early_auc_ratio,resid,NA,1
raw_rfu|initial_slope|resid,raw_rfu,initial_slope,resid,NA,1
raw_rfu|vmax|resid,raw_rfu,vmax,resid,NA,1
raw_rfu|time_to_vmax|resid,raw_rfu,time_to_vmax,resid,NA,1
raw_rfu|min_slope|resid,raw_rfu,min_slope,resid,NA,1
raw_rfu|time_to_min_slope|resid,raw_rfu,time_to_min_slope,resid,NA,1
raw_rfu|inflection_time|resid,raw_rfu,inflection_time,resid,NA,1
raw_rfu|metabolic_scope|resid,raw_rfu,metabolic_scope,resid,NA,1
raw_rfu|final_delta|resid,raw_rfu,final_delta,resid,NA,1
raw_rfu|depression_abs|resid,raw_rfu,depression_abs,resid,NA,1
raw_rfu|metabolic_depression_index|resid,raw_rfu,metabolic_depression_index,resid,NA,1
raw_rfu|resilience_ratio|resid,raw_rfu,resilience_ratio,resid,NA,1
raw_rfu|stability_cv|resid,raw_rfu,stability_cv,resid,NA,1
raw_rfu|rate_h2|resid,raw_rfu,rate_h2,resid,NA,1
raw_rfu|rate_h3|resid,raw_rfu,rate_h3,resid,NA,1
raw_rfu|rate_h4|resid,raw_rfu,rate_h4,resid,NA,1
raw_rfu|rate_last_first_ratio|resid,raw_rfu,rate_last_first_ratio,resid,NA,1
raw_rfu|rate_cv|resid,raw_rfu,rate_cv,resid,NA,1
raw_rfu|n_negative_intervals|resid,raw_rfu,n_negative_intervals,resid,NA,1
raw_rfu|max_drop|resid,raw_rfu,max_drop,resid,NA,1
raw_rfu|lin_slope|resid,raw_rfu,lin_slope,resid,NA,1
raw_rfu|lin_r2|resid,raw_rfu,lin_r2,resid,NA,1
raw_rfu|quad_coef|resid,raw_rfu,quad_coef,resid,NA,1
raw_rfu|mean_rate|resid,raw_rfu,mean_rate,resid,NA,1
raw_rfu|sat_asymptote|resid,raw_rfu,sat_asymptote,resid,NA,0.975609756097561
raw_rfu|sat_k|resid,raw_rfu,sat_k,resid,NA,0.975609756097561
raw_rfu|sat_r2|resid,raw_rfu,sat_r2,resid,NA,0.975609756097561
raw_rfu|t_half|resid,raw_rfu,t_half,resid,NA,1
raw_rfu|value_1h|resid,raw_rfu,value_1h,resid,NA,1
raw_rfu|value_2h|resid,raw_rfu,value_2h,resid,NA,1
raw_rfu|value_3h|resid,raw_rfu,value_3h,resid,NA,1
