index_id,selection_freq,phenotype,stratum,family,k,scale,feature,adjustment
raw_delta_mm|rate_h2|none,0.01,condition_index,diploid,all,8,raw_delta_mm,rate_h2,none
raw_delta|frac_auc_first_half|none,0.01,condition_index,diploid,all,8,raw_delta,frac_auc_first_half,none
raw_delta|late_early_auc_ratio|none,0.01,condition_index,diploid,all,8,raw_delta,late_early_auc_ratio,none
raw_rfu|time_to_vmax|none,0.01,condition_index,diploid,all,8,raw_rfu,time_to_vmax,none
fc_corr_mm|delta_auc_late_minus_early|none,1,condition_index,diploid,fc_corr_mm_none,3,fc_corr_mm,delta_auc_late_minus_early,none
fc_corr_mm|lin_slope|none,0.88,condition_index,diploid,fc_corr_mm_none,3,fc_corr_mm,lin_slope,none
fc_corr_mm|rate_h2|none,0.46,condition_index,diploid,fc_corr_mm_none,3,fc_corr_mm,rate_h2,none
fc_corr_mm|sat_asymptote|none,0.31,condition_index,diploid,fc_corr_mm_none,3,fc_corr_mm,sat_asymptote,none
fc_corr_mm|value_3h|none,0.22,condition_index,diploid,fc_corr_mm_none,3,fc_corr_mm,value_3h,none
fc_corr_mm|peak_value|none,0.1,condition_index,diploid,fc_corr_mm_none,3,fc_corr_mm,peak_value,none
fc_corr_mm|auc_late|none,0.02,condition_index,diploid,fc_corr_mm_none,3,fc_corr_mm,auc_late,none
fc_corr_mm|sat_k|none,0.01,condition_index,diploid,fc_corr_mm_none,3,fc_corr_mm,sat_k,none
fc_corr_mm|delta_auc_late_minus_early|none,1,condition_index,diploid,fc_corr_mm_none,5,fc_corr_mm,delta_auc_late_minus_early,none
fc_corr_mm|lin_slope|none,0.99,condition_index,diploid,fc_corr_mm_none,5,fc_corr_mm,lin_slope,none
fc_corr_mm|peak_value|none,0.68,condition_index,diploid,fc_corr_mm_none,5,fc_corr_mm,peak_value,none
fc_corr_mm|rate_h2|none,0.64,condition_index,diploid,fc_corr_mm_none,5,fc_corr_mm,rate_h2,none
fc_corr_mm|value_3h|none,0.59,condition_index,diploid,fc_corr_mm_none,5,fc_corr_mm,value_3h,none
fc_corr_mm|sat_asymptote|none,0.58,condition_index,diploid,fc_corr_mm_none,5,fc_corr_mm,sat_asymptote,none
fc_corr_mm|final_value|none,0.17,condition_index,diploid,fc_corr_mm_none,5,fc_corr_mm,final_value,none
fc_corr_mm|mean_rate|none,0.14,condition_index,diploid,fc_corr_mm_none,5,fc_corr_mm,mean_rate,none
fc_corr_mm|auc_late|none,0.1,condition_index,diploid,fc_corr_mm_none,5,fc_corr_mm,auc_late,none
fc_corr_mm|sat_k|none,0.05,condition_index,diploid,fc_corr_mm_none,5,fc_corr_mm,sat_k,none
fc_corr_mm|value_4h|none,0.04,condition_index,diploid,fc_corr_mm_none,5,fc_corr_mm,value_4h,none
fc_corr_mm|rate_h3|none,0.01,condition_index,diploid,fc_corr_mm_none,5,fc_corr_mm,rate_h3,none
fc_corr_mm|value_2h|none,0.01,condition_index,diploid,fc_corr_mm_none,5,fc_corr_mm,value_2h,none
fc_corr_mm|delta_auc_late_minus_early|none,1,condition_index,diploid,fc_corr_mm_none,8,fc_corr_mm,delta_auc_late_minus_early,none
fc_corr_mm|lin_slope|none,1,condition_index,diploid,fc_corr_mm_none,8,fc_corr_mm,lin_slope,none
fc_corr_mm|peak_value|none,1,condition_index,diploid,fc_corr_mm_none,8,fc_corr_mm,peak_value,none
fc_corr_mm|value_3h|none,0.94,condition_index,diploid,fc_corr_mm_none,8,fc_corr_mm,value_3h,none
fc_corr_mm|final_value|none,0.87,condition_index,diploid,fc_corr_mm_none,8,fc_corr_mm,final_value,none
fc_corr_mm|mean_rate|none,0.79,condition_index,diploid,fc_corr_mm_none,8,fc_corr_mm,mean_rate,none
fc_corr_mm|sat_asymptote|none,0.77,condition_index,diploid,fc_corr_mm_none,8,fc_corr_mm,sat_asymptote,none
fc_corr_mm|rate_h2|none,0.71,condition_index,diploid,fc_corr_mm_none,8,fc_corr_mm,rate_h2,none
fc_corr_mm|value_4h|none,0.6,condition_index,diploid,fc_corr_mm_none,8,fc_corr_mm,value_4h,none
fc_corr_mm|auc_late|none,0.27,condition_index,diploid,fc_corr_mm_none,8,fc_corr_mm,auc_late,none
fc_corr_mm|sat_k|none,0.04,condition_index,diploid,fc_corr_mm_none,8,fc_corr_mm,sat_k,none
fc_corr_mm|depression_abs|none,0.01,condition_index,diploid,fc_corr_mm_none,8,fc_corr_mm,depression_abs,none
fc_corr_mm|rate_h2|resid,0.97,condition_index,diploid,short_assay_2h,3,fc_corr_mm,rate_h2,resid
fc_corr|rate_h2|resid,0.58,condition_index,diploid,short_assay_2h,3,fc_corr,rate_h2,resid
raw_rfu|rate_h2|resid,0.52,condition_index,diploid,short_assay_2h,3,raw_rfu,rate_h2,resid
fc_corr|rate_h2|none,0.45,condition_index,diploid,short_assay_2h,3,fc_corr,rate_h2,none
raw_rfu|rate_h2|none,0.3,condition_index,diploid,short_assay_2h,3,raw_rfu,rate_h2,none
raw_delta_mm|rate_h2|resid,0.1,condition_index,diploid,short_assay_2h,3,raw_delta_mm,rate_h2,resid
raw_rfu|value_2h|none,0.04,condition_index,diploid,short_assay_2h,3,raw_rfu,value_2h,none
raw_delta|value_2h|none,0.03,condition_index,diploid,short_assay_2h,3,raw_delta,value_2h,none
raw_delta_mm|value_2h|resid,0.01,condition_index,diploid,short_assay_2h,3,raw_delta_mm,value_2h,resid
fc_corr_mm|rate_h2|resid,0.99,condition_index,diploid,short_assay_2h,5,fc_corr_mm,rate_h2,resid
fc_corr|rate_h2|resid,0.94,condition_index,diploid,short_assay_2h,5,fc_corr,rate_h2,resid
fc_corr|rate_h2|none,0.88,condition_index,diploid,short_assay_2h,5,fc_corr,rate_h2,none
raw_rfu|rate_h2|resid,0.88,condition_index,diploid,short_assay_2h,5,raw_rfu,rate_h2,resid
raw_rfu|rate_h2|none,0.66,condition_index,diploid,short_assay_2h,5,raw_rfu,rate_h2,none
raw_delta_mm|rate_h2|resid,0.47,condition_index,diploid,short_assay_2h,5,raw_delta_mm,rate_h2,resid
raw_rfu|value_2h|none,0.09,condition_index,diploid,short_assay_2h,5,raw_rfu,value_2h,none
raw_delta|value_2h|none,0.04,condition_index,diploid,short_assay_2h,5,raw_delta,value_2h,none
fc_corr|value_2h|none,0.02,condition_index,diploid,short_assay_2h,5,fc_corr,value_2h,none
raw_delta_mm|value_2h|none,0.02,condition_index,diploid,short_assay_2h,5,raw_delta_mm,value_2h,none
raw_rfu|auc_0_2h|none,0.01,condition_index,diploid,short_assay_2h,5,raw_rfu,auc_0_2h,none
fc_corr_mm|rate_h2|resid,0.99,condition_index,diploid,short_assay_2h,8,fc_corr_mm,rate_h2,resid
fc_corr|rate_h2|none,0.99,condition_index,diploid,short_assay_2h,8,fc_corr,rate_h2,none
fc_corr|rate_h2|resid,0.97,condition_index,diploid,short_assay_2h,8,fc_corr,rate_h2,resid
raw_rfu|rate_h2|none,0.97,condition_index,diploid,short_assay_2h,8,raw_rfu,rate_h2,none
raw_rfu|rate_h2|resid,0.97,condition_index,diploid,short_assay_2h,8,raw_rfu,rate_h2,resid
raw_delta_mm|rate_h2|resid,0.96,condition_index,diploid,short_assay_2h,8,raw_delta_mm,rate_h2,resid
fc_corr_mm|rate_h2|none,0.81,condition_index,diploid,short_assay_2h,8,fc_corr_mm,rate_h2,none
raw_delta_mm|rate_h2|none,0.79,condition_index,diploid,short_assay_2h,8,raw_delta_mm,rate_h2,none
raw_rfu|value_2h|none,0.22,condition_index,diploid,short_assay_2h,8,raw_rfu,value_2h,none
raw_delta|value_2h|none,0.17,condition_index,diploid,short_assay_2h,8,raw_delta,value_2h,none
