phenotype,value_metric,feature,family_id_group,n,mean,sd,se,median,iqr
high-salinity,corrected_fc,trough_value,15,26,-6.584875175054694e-5,3.3576407012176577e-4,6.584875175054691e-5,0,0
high-salinity,corrected_fc,trough_value,16,23,0,0,0,0,0
high-salinity,corrected_fc,trough_value,19,27,0,0,0,0,0
high-salinity,corrected_fc,trough_value,2,27,0,0,0,0,0
high-salinity,corrected_fc,trough_value,20,24,0,0,0,0,0
high-salinity,corrected_fc,trough_value,21,26,0,0,0,0,0
high-salinity,corrected_fc,trough_value,24,25,0,0,0,0,0
high-salinity,corrected_fc,trough_value,25,27,0,0,0,0,0
high-salinity,corrected_fc,trough_value,26,25,-1.1576676400858448e-4,5.788338200429225e-4,1.1576676400858451e-4,0,0
high-salinity,corrected_fc,trough_value,31,25,-1.5218361558857032e-4,7.609180779428517e-4,1.5218361558857034e-4,0,0
high-salinity,corrected_fc,trough_value,32,24,0,0,0,0,0
high-salinity,corrected_fc,trough_value,33,28,-4.8313755410892684e-4,0.0025565236344164658,4.8313755410892684e-4,0,0
high-salinity,corrected_fc,trough_value,34,22,0,0,0,0,0
high-salinity,corrected_fc,trough_value,36,26,0,0,0,0,0
high-salinity,corrected_fc,trough_value,37,28,0,0,0,0,0
high-salinity,corrected_fc,trough_value,38,25,-5.263308818203998e-4,0.002631654409101999,5.263308818203998e-4,0,0
high-salinity,corrected_fc,trough_value,39,24,0,0,0,0,0
high-salinity,corrected_fc,trough_value,41,26,0,0,0,0,0
high-salinity,corrected_fc,trough_value,42,23,0,0,0,0,0
high-salinity,corrected_fc,trough_value,43,28,-1.3060013178018654e-4,6.910709397652739e-4,1.3060013178018657e-4,0,0
high-salinity,corrected_fc,trough_value,5,25,0,0,0,0,0
high-salinity,corrected_fc,trough_value,6,26,-8.575670573197352e-4,0.003095940917677211,6.071639673910174e-4,0,0
high-salinity,corrected_fc,trough_value,7,24,0,0,0,0,0
high-salinity,corrected_fc,vmax,12,27,1.1672336858297332,1.0864975276874973,0.20909654669474648,0.8295585236308709,1.6942681537178292
high-salinity,corrected_fc,vmax,14,27,2.966562039029437,1.376960015662412,0.2649960785686816,2.602402352858818,1.562283316849736
high-salinity,corrected_fc,vmax,15,26,1.5280976773521886,1.3114299359402217,0.25719257054111255,1.2110471524904276,0.9861198732042844
high-salinity,corrected_fc,vmax,16,23,3.0565721953706895,1.988492397684807,0.41462932716019524,2.426649817532901,1.5005894407728253
high-salinity,corrected_fc,vmax,19,27,2.1126434638636016,0.7632218984869606,0.1468821228476213,2.030687182003766,1.017701203213293
high-salinity,corrected_fc,vmax,2,27,1.5687783489497151,1.2034715552702653,0.23160820879911506,1.103682456070494,1.5873303689371645
high-salinity,corrected_fc,vmax,20,24,2.038769735710973,1.2018147470386011,0.24531940796638446,1.7641774967509596,1.828844802360229
high-salinity,corrected_fc,vmax,21,26,2.2390814851065564,1.0415088334885214,0.20425668713604728,2.2527856563697264,1.7884085715659943
high-salinity,corrected_fc,vmax,24,25,2.3968961905763138,1.1092652650580799,0.22185305301161598,2.39958557471965,1.404112794522318
